'a'ba 阿爸
'song'ren 松人
'suan'suan'su'su 酸酸宿宿
'suan'tou 蒜头
'sun'zai'zai 孙仔仔
'suo'cha 索察
'suo'qi 索气
'suo'suo'sui'sui 琐琐碎碎
'suo'tou'wu'gui 缩头乌龟
'suo'you 索油
'ta'tiao 他条
'tai'zi'ye 太子爷
'te'deng 特登
'te'lu'wa 特鲁瓦
'ti'bao 踢爆
'ti'shai'jiao 踢晒脚
'ti'zi 提子
'tian'ji 田鸡
'tian'qiao 天桥
'tian'wu'tian'fan 添唔添饭
'tie'da'ni'hao 铁达尼号
'tie'shi 贴士
'ting'ri 听日
'tong'cai 通菜
'tong'mai 同埋
'tou'chi 头赤
'tou'da'da 头耷耷
'tou'e'guai'pian 偷呃拐骗
'tou'ji'wu'dao'shi'zha'mi 偷鸡唔到蚀揸米
'tou'ke 头壳
'tou'ning'ning 头拧拧
'tou'pi 头皮
'tou'xiao 偷笑
'tou'yue'yue 头岳岳
'tuo'da'jiao 托大脚
'tuo'fei'tang 拖肥糖
'wan'shou'guo 万寿果
'wei'fan'shu 煨番薯
'wei'hua'bing 威化饼
'wei'long'gu 尾龙骨
'wei'shi 威士
'wei'shi'ji 威士忌
'wei'shi'xian 威士咸
'wei'te 威特
'wei'ye 威也
'wen'ben 揾笨
'wen'ci 蚊螆
'wen'gong 揾工
'wen'jin 紊尽
'wen'nan 蚊赧
'wen'ren 揾人
'wen'shi 揾食
'wen'wen'zhen'zhen 稳稳阵阵
'wo'di 我哋
'wu'dan'zhi 唔单只
'wu'deng'hei'huo 乌灯黑火
'wu'duan'bai'shi 无端白事
'wu'fen'qi 唔忿气
'wu'gai 唔该
'wu'hao 唔好
'wu'hua'de 唔话得
'wu'jing'shen 唔精神
'wu'jue'yi 唔觉意
'wu'long 乌龙
'wu'qi 屋企
'wu'shi 唔使
'wu'shu'shu 乌殊殊
'wu'tong 唔通
'wu'ying 乌蝇
'wu'zao 污糟
'wu'zu'zu 乌卒卒
'xi'deng 熄灯
'xi'lao 细佬
'xi'lu 细路
'xi'mian 洗面
'xi'ni 惜你
'xi'shan'ban 洗衫板
'xi'wen'zai 细蚊仔
'xi'xi'ha'ha 嘻嘻哈哈
'xia'mao 虾毛
'xia'pa 下爬
'xia'zhou 下昼
'xian'shi 仙士
'xian'shi 咸湿
'xian'zhi 先至
'xiang'dang'zhi 相当之
'xiang'gang'jiao 香港脚
'xiang'hua 想话
'xiang'jian 香枧
'xiang'kou'jiao 香口胶
'xiao'kou'shi'shi 笑口噬噬
'xiao'kou'yin'yin 笑口吟吟
'xiao'qi'qi 笑骑骑
'xiao'xin'shi'de'wan'nian'chuan 小心驶得晚年船
'xiao'ye 宵夜
'xiao'ye 霄夜
'xin'bao 心抱
'xin'bao 新抱
'xin'dan 心淡
'xin'di 新哋
'xin'duo'duo 心多多
'xin'gan 心甘
'xin'gua 信瓜
'xin'gua'gua 心挂挂
'xin'jing 新净
'xin'kou 心口
'xin'kou'yi 心口翳
'xin'shui 心水
'xin'si'si 心思思
'xin'xi 心息
'xin'xu'xu 心喐喐
'xin'yan 心罨
'xin'yi 心悒
'xin'yu'yu 心郁郁
'xing'che'tian'qiao 行车天桥
'xing'mu 醒目
'xing'ren'tian'qiao 行人天桥
'xiu'jia 羞家
'xu'shan 恤衫
'xu'shou 喐手
